11,83.7,0.5079,0.817
12,79.975,0.3993,0.798
13,78.45,0.3509,0.777
14,78.6,0.2569,0.746
15,78.575,0.2891,0.75
16,78.95,0.316,0.763
17,80.65,0.4014,0.76
18,76.225,0.2271,0.664
19,77.475,0.2648,0.701
20,74.725,0.0237,0.564
,78.7325,0.30371,0.734
